编号,父编号,层级,部门/模块,工作项名称,执行者,执行者类型,优先级,状态,预计工时,截止日期,依赖项,交付物,备注
T001,,L2,基础设施,GitHub仓库创建,小技💻,蜂工,P0,✅已完成,1h,2026-02-20,,GitHub repo: RodwuAI/loveaicoin,Day 1完成
T002,,L1,基础设施,CEO付款：域名购买,吴总,CEO,P0,✅已完成,0.5h,2026-02-20,,域名: loveaicoin.com,"Namecheap, $11.18/yr"
T003,T002,L2,基础设施,蜂工配置：Vercel部署+SSL,小小技🔨,蜂工,P0,✅已完成,2h,2026-02-20,T002,Vercel部署完成,自定义域名+SSL配置
T004,,L2,基础设施,Supabase项目创建,小技💻,蜂工,P0,✅已完成,1h,2026-02-20,,Supabase项目,新加坡区域
T005,,L2,前端开发,首页开发,小小技🔨,蜂工,P0,✅已完成,4h,2026-02-21,,首页代码,Day 2完成
T006,,L2,前端开发,关于页开发,小小技🔨,蜂工,P0,✅已完成,2h,2026-02-21,,关于页代码,Day 2完成
T007,,L2,前端开发,白皮书页开发,小小技🔨,蜂工,P0,✅已完成,2h,2026-02-21,,白皮书页代码,Day 2完成
T008,,L2,后端开发,auth-email API开发,小技💻,蜂工,P0,✅已完成,4h,2026-02-21,,注册登录API,Day 2完成
T009,,L2,后端开发,mining-checkin API开发,小技💻,蜂工,P0,✅已完成,3h,2026-02-21,,签到挖矿API,Day 2完成
T010,,L2,区块链/Web3,SPL Token创建脚本,链鹰🦅,蜂工,P0,✅已完成,2h,2026-02-21,,Token创建脚本,Day 2完成
T011,,L2,内容与运营,30天内容日历制定,墨笔✍️,蜂工,P0,✅已完成,4h,2026-02-21,,内容日历,Day 2完成
T012,,L2,内容与运营,白皮书V2撰写,墨笔✍️,蜂工,P0,✅已完成,8h,2026-02-21,,白皮书V2,Day 2完成
T013,,L2,前端开发,视觉优化+响应式修复,小技💻,蜂工,P0,🔄执行中,6h,2026-02-22,,优化后的前端,Day 3计划
T014,,L2,内容与运营,内容审查与优化,墨笔✍️,蜂工,P0,🔄执行中,4h,2026-02-22,,优化内容,Day 3计划
T015,,L2,战略与规划,经济模型分析V2,经济师📊,蜂工,P0,🔄执行中,6h,2026-02-22,,经济模型报告,Day 3计划
T016,,L1,内容与运营,CEO注册验证：Twitter官方账号,吴总,CEO,P0,⏳待启动,0.5h,2026-02-22,,@LoveAICoin账号,需要手机验证
T017,T016,L2,内容与运营,蜂工配置运营：Twitter内容设置,财奴💰,蜂工,P0,⏳待启动,2h,2026-02-22,T016,Twitter头像/简介/内容,CEO注册后配置
T018,,L2,后端开发,Supabase Edge Functions修复,小技💻,蜂工,P0,⏳待启动,3h,2026-02-22,,修复的Edge Functions,Day 3计划
T019,,L2,前端开发,钱包连接功能开发,小小技🔨,蜂工,P0,⏳待启动,4h,2026-02-22,,钱包连接功能,Day 3计划
T020,,L2,前端开发,课程详情页开发,小小技🔨,蜂工,P0,⏳待启动,3h,2026-02-22,,课程详情页,Day 3计划
T021,,L2,前端开发,SEO优化+meta标签,小小技🔨,蜂工,P0,⏳待启动,3h,2026-02-22,,SEO优化,Day 3计划
T022,,L2,前端开发,性能优化,小小技🔨,蜂工,P0,⏳待启动,2h,2026-02-22,,性能优化报告,Day 3计划
T023,,L1,内容与运营,CEO注册验证：Discord服务器,吴总,CEO,P0,⏳待启动,0.5h,2026-02-23,,Discord服务器,需要身份验证
T024,T023,L2,内容与运营,蜂工配置运营：Discord频道规划,财奴💰,蜂工,P0,⏳待启动,3h,2026-02-23,T023,Discord频道+角色+规则,CEO注册后配置
T025,,L1,内容与运营,CEO注册验证：Telegram社区群,吴总,CEO,P0,⏳待启动,0.5h,2026-02-23,,Telegram群,需要身份验证
T026,T025,L2,内容与运营,蜂工配置运营：Telegram群管理,财奴💰,蜂工,P0,⏳待启动,2h,2026-02-23,T025,TG群设置,CEO注册后配置
T027,,L1,区块链/Web3,CEO创建：Solana钱包,吴总,CEO,P0,⏳待启动,0.5h,2026-02-23,,Phantom钱包,项目主钱包
T028,,L2,品牌与设计,Logo设计完成,首席设计师🎨,蜂工,P0,⏳待启动,4h,2026-02-23,,Logo源文件,主版/简化/横版
T029,,L2,产品设计,用户流程图完成,小嘀嗒💫,蜂工,P0,⏳待启动,4h,2026-02-23,,用户流程图,注册→学习→挖矿→兑换
T030,,L1,战略与规划,CEO决策：TGE日期确定,吴总,CEO,P0,⏳待启动,0.5h,2026-02-24,,TGE日期确认,战略决策
T031,,L2,品牌与设计,品牌VI系统完成,首席设计师🎨,蜂工,P0,⏳待启动,6h,2026-02-24,T028,VI规范文档,色彩/字体/UI组件
T032,,L2,产品设计,核心PRD完成,小嘀嗒💫,蜂工,P0,⏳待启动,6h,2026-02-24,,PRD文档,学习中心/AI工具箱
T033,,L2,测试与上线,功能测试计划制定,小技💻,蜂工,P0,⏳待启动,2h,2026-02-25,,测试计划,Day 4计划
T034,,L1,财务,CEO付款：初始资金到位确认,吴总,CEO,P0,⏳待启动,0.5h,2026-02-25,,资金到位确认,确认项目资金
T035,T034,L2,财务,蜂工记录：资金使用计划,小算盘🧮,蜂工,P0,⏳待启动,2h,2026-02-25,T034,资金使用计划,CEO付款后记录
T036,,L2,品牌与设计,社交媒体视觉素材制作,首席设计师🎨,蜂工,P0,⏳待启动,4h,2026-02-25,T028,头像+封面+模板,Twitter/Discord/Telegram
T037,,L1,区块链/Web3,CEO创建：多签钱包部署,吴总,CEO,P0,⏳待启动,0.5h,2026-02-25,T027,多签钱包地址,"Squads, 3/5多签"
T038,T037,L2,区块链/Web3,蜂工配置：多签钱包设置,链鹰🦅,蜂工,P0,⏳待启动,2h,2026-02-25,T037,钱包配置完成,CEO创建后配置
T039,,L2,法务与合规,用户协议撰写,小算盘🧮,蜂工,P0,⏳待启动,4h,2026-02-26,,用户协议文档,中英双语
T040,,L2,法务与合规,隐私政策撰写,小算盘🧮,蜂工,P0,⏳待启动,3h,2026-02-26,,隐私政策文档,GDPR合规
T041,,L2,内容与运营,预热内容制作,墨笔✍️,蜂工,P0,⏳待启动,6h,2026-02-26,T016;T023;T025,预热内容包,倒计时/预告/Teaser
T042,,L2,测试与上线,内测白名单邀请,财奴💰,蜂工,P0,⏳待启动,2h,2026-02-27,,白名单+邀请链接,50-100人
T043,,L2,安全,反女巫系统设计,小黑🔒,蜂工,P0,⏳待启动,8h,2026-02-27,,反女巫方案,防刷积分
T044,,L2,测试与上线,Bug修复,小小技🔨,蜂工,P0,⏳待启动,8h,2026-03-01,T042,Bug修复记录,内测反馈修复
T045,,L2,安全,安全审计,小黑🔒,蜂工,P0,⏳待启动,6h,2026-03-01,,安全审计报告,上线前全面审查
T046,,L2,测试与上线,安全测试（渗透测试）,小黑🔒,蜂工,P0,⏳待启动,4h,2026-03-01,T045,渗透测试报告,上线前安全测试
T047,,L1,测试与上线,CEO决策：正式上线确认,吴总,CEO,P0,⏳待启动,0.5h,2026-03-02,全部P0项,上线确认,🎯目标日：3/2上线
T048,T047,L2,测试与上线,蜂工执行：正式上线部署,小技💻,蜂工,P0,⏳待启动,2h,2026-03-02,T047,上线公告,Phase1积分期上线
T049,,L2,内容与运营,上线日社交媒体发布,财奴💰,蜂工,P0,⏳待启动,2h,2026-03-02,T048,发布内容,全平台同步
T050,,L2,战略与规划,Phase2规划（TGE准备）,经济师📊,蜂工,P1,⏳待启动,4h,2026-03-05,T047,Phase2计划文档,上线后启动
